what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1608165986563
java.specification.name,sysinfo,,,"Java Platform API Specification",1608165986563
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1608165986563
java.specification.version,sysinfo,,,"1.6",1608165986563
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1608165986563
java.version,sysinfo,,,"1.6.0_23",1608165986563
java.vm.info,sysinfo,,,"mixed mode",1608165986563
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1608165986563
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1608165986563
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1608165986563
java.vm.specification.version,sysinfo,,,"1.0",1608165986563
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1608165986563
java.vm.version,sysinfo,,,"19.0-b09",1608165986563
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1608165986582
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1608165987349
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1608165987433
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1608165987476
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1608165988243
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1608165988254
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1608165988913
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1608165988946
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1608165989083
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1608165989135
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1608165989498
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1608165989727
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1608165989816
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1608165989977
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1608165990732
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1608165991025
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1608165991027
