what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1606904034598
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1606904034598
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1606904034598
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1606904034598
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1606904034598
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1606904034598
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1606904034598
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1606904034598
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1606904034598
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1606904034598
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1606904034598
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1606904034598
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1606904034598
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1606904034598
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1606904034599
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1606904034599
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1606904034599
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1606904034599
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1606904034599
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1606904034599
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1606904034599
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1606904034599
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1606904034599
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1606904034599
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1606904034599
os,sysinfo,,,"win32",1606904034601
arch,sysinfo,,,"x86",1606904034601
ws,sysinfo,,,"win32",1606904034601
locale,sysinfo,,,"en_US",1606904034601
processors,sysinfo,,,"4",1606904034601
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1606904034601
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1606904034601
java.specification.name,sysinfo,,,"Java Platform API Specification",1606904034601
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606904034601
java.specification.version,sysinfo,,,"1.6",1606904034601
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1606904034601
java.version,sysinfo,,,"1.6.0_23",1606904034601
java.vm.info,sysinfo,,,"mixed mode",1606904034601
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1606904034601
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1606904034601
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606904034601
java.vm.specification.version,sysinfo,,,"1.0",1606904034601
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1606904034601
java.vm.version,sysinfo,,,"19.0-b09",1606904034601
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1606904034613
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1606904035388
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1606904035401
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1606904035466
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1606904036262
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606904037702
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1606904039610
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1606904039800
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606904042674
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904042709
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904045666
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1606904046272
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1606904046377
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904046412
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904050880
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904055191
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904057444
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606904059788
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1606904062417
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606904067731
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1606904069609
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1606904069614
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606904069615
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904077008
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904078040
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1606904078141
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904078238
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1606904078524
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1606904078524
stopped,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1606904078524
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1606904078524
