what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606843035278
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1606843038163
error,log,,,"Error starting process.",1606843040373
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606843040382
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606843043473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606843044388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606844261388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606844261875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606847039546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606847040529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606847042931
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606847044543
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606847045870
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1606847045960
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606847046005
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1606847046315
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1606847046316
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1606847046316
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1606847046317
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1606847046317
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1606847046318
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1606847046319
