what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1606840188414
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1606840188414
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1606840188414
os,sysinfo,,,"win32",1606840188416
arch,sysinfo,,,"x86",1606840188416
ws,sysinfo,,,"win32",1606840188416
locale,sysinfo,,,"en_US",1606840188416
processors,sysinfo,,,"4",1606840188416
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1606840188416
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1606840188416
java.specification.name,sysinfo,,,"Java Platform API Specification",1606840188416
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606840188416
java.specification.version,sysinfo,,,"1.6",1606840188416
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1606840188416
java.version,sysinfo,,,"1.6.0_23",1606840188416
java.vm.info,sysinfo,,,"mixed mode",1606840188416
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1606840188416
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1606840188416
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606840188416
java.vm.specification.version,sysinfo,,,"1.0",1606840188416
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1606840188416
java.vm.version,sysinfo,,,"19.0-b09",1606840188416
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1606840193041
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1606840193073
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1606840193075
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1606840193086
error,log,,,"Error starting process.",1606840195532
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840195536
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840204996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840208843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840230155
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAs",1606840230165
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1606840235030
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840235315
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840237383
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840242733
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840247158
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1606840247169
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840247458
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1606840248370
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1606840248501
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1606840249645
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840275645
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1606840346752
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840347028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840350603
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840354240
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840416265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840426688
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840433779
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840442858
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840469099
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606840469118
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1606840469333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840479311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840540025
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840554505
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840559942
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840569264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840573053
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840579423
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840592867
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606840592884
