what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1606904089822
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1606904089823
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1606904089823
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1606904089824
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1606904089824
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1606904089825
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1606904089825
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1606904089826
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1606904089826
os,sysinfo,,,"win32",1606904089828
arch,sysinfo,,,"x86",1606904089828
ws,sysinfo,,,"win32",1606904089828
locale,sysinfo,,,"en_US",1606904089828
processors,sysinfo,,,"4",1606904089828
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1606904089828
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1606904089828
java.specification.name,sysinfo,,,"Java Platform API Specification",1606904089828
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606904089828
java.specification.version,sysinfo,,,"1.6",1606904089828
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1606904089828
java.version,sysinfo,,,"1.6.0_23",1606904089828
java.vm.info,sysinfo,,,"mixed mode",1606904089828
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1606904089828
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1606904089828
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606904089828
java.vm.specification.version,sysinfo,,,"1.0",1606904089828
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1606904089828
java.vm.version,sysinfo,,,"19.0-b09",1606904089828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904096635
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606904100442
