what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827022617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827031525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827033194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827034751
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827036767
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827042326
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827043107
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606827045958
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827046951
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606827051597
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827056855
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606827064823
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827068947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827100989
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827103507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606827106794
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827108377
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827111537
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827114752
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827118104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827119178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827120900
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1606827121874
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1606827122570
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827128557
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606827135947
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827137217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827139930
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827142176
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606827145857
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606827147447
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827148667
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606827152651
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827153264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827157091
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827158831
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827162838
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827167147
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606827176277
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827178557
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606827183696
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827195199
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827199686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827211948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827220120
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606827233554
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606827261294
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1606827273257
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827273561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827277594
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1606827279837
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827284258
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827287889
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827289987
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1606827298367
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827298651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827301977
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606827304299
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1606827306877
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827307173
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827316085
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1606827319980
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606827331963
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1606827333502
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827333792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827412252
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1606827418716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827419006
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827422407
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827432656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827446643
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606827451406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606827455720
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827456339
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827459939
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606827463236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827469642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827471747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827474338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827477573
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1606827482266
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827482550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606827992015
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1606827996506
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606828013440
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1606828016425
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606828016721
